Disease,County,Year,Sex,Cases,Population
Chlamydia,California,2015,Female,121749,19634752
Chlamydia,California,2015,Male,67694,19441376
Chlamydia,California,2015,Total,189747,39076128
Chlamydia,California,2016,Female,123924,19758238
Chlamydia,California,2016,Male,73708,19570099
Chlamydia,California,2016,Total,198245,39328337
Chlamydia,California,2017,Female,134847,19891334
Chlamydia,California,2017,Male,83203,19719222
Chlamydia,California,2017,Total,218519,39610556
Chlamydia,California,2018,Female,142397,19989903
Chlamydia,California,2018,Male,89156,19835278
Chlamydia,California,2018,Total,232181,39825181
Chlamydia,Alameda,2015,Female,4924,825325
Chlamydia,Alameda,2015,Male,3133,796390
Chlamydia,Alameda,2015,Total,8063,1621715
Chlamydia,Alameda,2016,Female,4767,833118
Chlamydia,Alameda,2016,Male,3393,804648
Chlamydia,Alameda,2016,Total,8172,1637766
Chlamydia,Alameda,2017,Female,5137,839632
Chlamydia,Alameda,2017,Male,4016,811687
Chlamydia,Alameda,2017,Total,9180,1651319
Chlamydia,Alameda,2018,Female,5431,845084
Chlamydia,Alameda,2018,Male,4251,817691
Chlamydia,Alameda,2018,Total,9719,1662775
Chlamydia,Alpine,2015,Female,NA,561
Chlamydia,Alpine,2015,Male,NA,593
Chlamydia,Alpine,2015,Total,1,1154
Chlamydia,Alpine,2016,Female,NA,558
Chlamydia,Alpine,2016,Male,NA,593
Chlamydia,Alpine,2016,Total,4,1151
Chlamydia,Alpine,2017,Female,NA,558
Chlamydia,Alpine,2017,Male,NA,588
Chlamydia,Alpine,2017,Total,9,1146
Chlamydia,Alpine,2018,Female,NA,557
Chlamydia,Alpine,2018,Male,NA,584
Chlamydia,Alpine,2018,Total,12,1141
Chlamydia,Amador,2015,Female,51,17062
Chlamydia,Amador,2015,Male,15,19333
Chlamydia,Amador,2015,Total,66,36395
Chlamydia,Amador,2016,Female,68,17063
Chlamydia,Amador,2016,Male,27,19799
Chlamydia,Amador,2016,Total,95,36862
Chlamydia,Amador,2017,Female,53,17312
Chlamydia,Amador,2017,Male,13,20093
Chlamydia,Amador,2017,Total,66,37405
Chlamydia,Amador,2018,Female,39,17610
Chlamydia,Amador,2018,Male,21,20453
Chlamydia,Amador,2018,Total,63,38063
Chlamydia,Butte,2015,Female,763,112942
Chlamydia,Butte,2015,Male,367,111591
Chlamydia,Butte,2015,Total,1131,224533
Chlamydia,Butte,2016,Female,894,113218
Chlamydia,Butte,2016,Male,392,111876
Chlamydia,Butte,2016,Total,1288,225094
Chlamydia,Butte,2017,Female,834,113865
Chlamydia,Butte,2017,Male,375,112796
Chlamydia,Butte,2017,Total,1210,226661
Chlamydia,Butte,2018,Female,899,114368
Chlamydia,Butte,2018,Male,420,113469
Chlamydia,Butte,2018,Total,1320,227837
Chlamydia,Calaveras,2015,Female,46,22492
Chlamydia,Calaveras,2015,Male,16,22415
Chlamydia,Calaveras,2015,Total,62,44907
Chlamydia,Calaveras,2016,Female,55,22436
Chlamydia,Calaveras,2016,Male,30,22327
Chlamydia,Calaveras,2016,Total,86,44763
Chlamydia,Calaveras,2017,Female,50,22403
Chlamydia,Calaveras,2017,Male,24,22253
Chlamydia,Calaveras,2017,Total,75,44656
Chlamydia,Calaveras,2018,Female,76,22378
Chlamydia,Calaveras,2018,Male,42,22259
Chlamydia,Calaveras,2018,Total,119,44637
Chlamydia,Colusa,2015,Female,40,10864
Chlamydia,Colusa,2015,Male,20,11435
Chlamydia,Colusa,2015,Total,60,22299
Chlamydia,Colusa,2016,Female,56,10965
Chlamydia,Colusa,2016,Male,14,11511
Chlamydia,Colusa,2016,Total,70,22476
Chlamydia,Colusa,2017,Female,29,11034
Chlamydia,Colusa,2017,Male,20,11598
Chlamydia,Colusa,2017,Total,49,22632
Chlamydia,Colusa,2018,Female,42,11079
Chlamydia,Colusa,2018,Male,14,11665
Chlamydia,Colusa,2018,Total,56,22744
Chlamydia,Contra Costa,2015,Female,3201,571696
Chlamydia,Contra Costa,2015,Male,1511,546580
Chlamydia,Contra Costa,2015,Total,4713,1118276
Chlamydia,Contra Costa,2016,Female,3510,577692
Chlamydia,Contra Costa,2016,Male,1696,552382
Chlamydia,Contra Costa,2016,Total,5212,1130074
Chlamydia,Contra Costa,2017,Female,3792,581487
Chlamydia,Contra Costa,2017,Male,1915,556714
Chlamydia,Contra Costa,2017,Total,5722,1138201
Chlamydia,Contra Costa,2018,Female,3911,585159
Chlamydia,Contra Costa,2018,Male,2199,560717
Chlamydia,Contra Costa,2018,Total,6146,1145876
Chlamydia,Del Norte,2015,Female,66,12291
Chlamydia,Del Norte,2015,Male,27,14834
Chlamydia,Del Norte,2015,Total,93,27125
Chlamydia,Del Norte,2016,Female,42,12473
Chlamydia,Del Norte,2016,Male,19,14519
Chlamydia,Del Norte,2016,Total,63,26992
Chlamydia,Del Norte,2017,Female,72,12391
Chlamydia,Del Norte,2017,Male,28,14420
Chlamydia,Del Norte,2017,Total,100,26811
Chlamydia,Del Norte,2018,Female,58,12608
Chlamydia,Del Norte,2018,Male,31,14667
Chlamydia,Del Norte,2018,Total,89,27275
Chlamydia,El Dorado,2015,Female,297,91357
Chlamydia,El Dorado,2015,Male,125,92001
Chlamydia,El Dorado,2015,Total,422,183358
Chlamydia,El Dorado,2016,Female,308,91777
Chlamydia,El Dorado,2016,Male,136,92558
Chlamydia,El Dorado,2016,Total,444,184335
Chlamydia,El Dorado,2017,Female,313,92825
Chlamydia,El Dorado,2017,Male,138,93731
Chlamydia,El Dorado,2017,Total,451,186556
Chlamydia,El Dorado,2018,Female,297,94004
Chlamydia,El Dorado,2018,Male,147,94989
Chlamydia,El Dorado,2018,Total,447,188993
Chlamydia,Fresno,2015,Female,4410,490514
Chlamydia,Fresno,2015,Male,1493,489702
Chlamydia,Fresno,2015,Total,5914,980216
Chlamydia,Fresno,2016,Female,4716,494729
Chlamydia,Fresno,2016,Male,1717,494256
Chlamydia,Fresno,2016,Total,6441,988985
Chlamydia,Fresno,2017,Female,5102,500034
Chlamydia,Fresno,2017,Male,2063,500109
Chlamydia,Fresno,2017,Total,7171,1000143
Chlamydia,Fresno,2018,Female,5047,505122
Chlamydia,Fresno,2018,Male,2083,505804
Chlamydia,Fresno,2018,Total,7140,1010926
Chlamydia,Glenn,2015,Female,69,14308
Chlamydia,Glenn,2015,Male,22,14657
Chlamydia,Glenn,2015,Total,91,28965
Chlamydia,Glenn,2016,Female,86,14362
Chlamydia,Glenn,2016,Male,21,14706
Chlamydia,Glenn,2016,Total,108,29068
Chlamydia,Glenn,2017,Female,73,14431
Chlamydia,Glenn,2017,Male,35,14774
Chlamydia,Glenn,2017,Total,111,29205
Chlamydia,Glenn,2018,Female,83,14487
Chlamydia,Glenn,2018,Male,37,14850
Chlamydia,Glenn,2018,Total,120,29337
Chlamydia,Humboldt,2015,Female,419,67323
Chlamydia,Humboldt,2015,Male,203,67852
Chlamydia,Humboldt,2015,Total,622,135175
Chlamydia,Humboldt,2016,Female,493,67755
Chlamydia,Humboldt,2016,Male,256,68223
Chlamydia,Humboldt,2016,Total,749,135978
Chlamydia,Humboldt,2017,Female,475,67679
Chlamydia,Humboldt,2017,Male,239,68186
Chlamydia,Humboldt,2017,Total,714,135865
Chlamydia,Humboldt,2018,Female,526,67565
Chlamydia,Humboldt,2018,Male,263,68062
Chlamydia,Humboldt,2018,Total,790,135627
Chlamydia,Imperial,2015,Female,594,91100
Chlamydia,Imperial,2015,Male,143,93948
Chlamydia,Imperial,2015,Total,737,185048
Chlamydia,Imperial,2016,Female,693,91841
Chlamydia,Imperial,2016,Male,178,94651
Chlamydia,Imperial,2016,Total,873,186492
Chlamydia,Imperial,2017,Female,797,92549
Chlamydia,Imperial,2017,Male,174,95394
Chlamydia,Imperial,2017,Total,979,187943
Chlamydia,Imperial,2018,Female,854,93270
Chlamydia,Imperial,2018,Male,194,96198
Chlamydia,Imperial,2018,Total,1060,189468
Chlamydia,Inyo,2015,Female,43,9226
Chlamydia,Inyo,2015,Male,12,9409
Chlamydia,Inyo,2015,Total,55,18635
Chlamydia,Inyo,2016,Female,58,9225
Chlamydia,Inyo,2016,Male,16,9403
Chlamydia,Inyo,2016,Total,74,18628
Chlamydia,Inyo,2017,Female,30,9202
Chlamydia,Inyo,2017,Male,14,9364
Chlamydia,Inyo,2017,Total,45,18566
Chlamydia,Inyo,2018,Female,56,9165
Chlamydia,Inyo,2018,Male,12,9361
Chlamydia,Inyo,2018,Total,68,18526
Chlamydia,Kern,2015,Female,3712,430266
Chlamydia,Kern,2015,Male,2402,453533
Chlamydia,Kern,2015,Total,6117,883799
Chlamydia,Kern,2016,Female,3819,432856
Chlamydia,Kern,2016,Male,2520,455352
Chlamydia,Kern,2016,Total,6340,888208
Chlamydia,Kern,2017,Female,4075,437639
Chlamydia,Kern,2017,Male,2765,460310
Chlamydia,Kern,2017,Total,6841,897949
Chlamydia,Kern,2018,Female,4286,442149
Chlamydia,Kern,2018,Male,2669,465369
Chlamydia,Kern,2018,Total,6957,907518
Chlamydia,Kings,2015,Female,425,67827
Chlamydia,Kings,2015,Male,167,82079
Chlamydia,Kings,2015,Total,592,149906
Chlamydia,Kings,2016,Female,575,67801
Chlamydia,Kings,2016,Male,287,81511
Chlamydia,Kings,2016,Total,863,149312
Chlamydia,Kings,2017,Female,670,68546
Chlamydia,Kings,2017,Male,320,82446
Chlamydia,Kings,2017,Total,991,150992
Chlamydia,Kings,2018,Female,628,69664
Chlamydia,Kings,2018,Male,343,83876
Chlamydia,Kings,2018,Total,972,153540
Chlamydia,Lake,2015,Female,178,32411
Chlamydia,Lake,2015,Male,75,32448
Chlamydia,Lake,2015,Total,253,64859
Chlamydia,Lake,2016,Female,198,32311
Chlamydia,Lake,2016,Male,84,32273
Chlamydia,Lake,2016,Total,284,64584
Chlamydia,Lake,2017,Female,170,32535
Chlamydia,Lake,2017,Male,90,32395
Chlamydia,Lake,2017,Total,261,64930
Chlamydia,Lake,2018,Female,222,32690
Chlamydia,Lake,2018,Male,108,32480
Chlamydia,Lake,2018,Total,331,65170
Chlamydia,Lassen,2015,Female,50,11667
Chlamydia,Lassen,2015,Male,27,19320
Chlamydia,Lassen,2015,Total,78,30987
Chlamydia,Lassen,2016,Female,52,11532
Chlamydia,Lassen,2016,Male,24,19062
Chlamydia,Lassen,2016,Total,76,30594
Chlamydia,Lassen,2017,Female,66,11556
Chlamydia,Lassen,2017,Male,26,19048
Chlamydia,Lassen,2017,Total,94,30604
Chlamydia,Lassen,2018,Female,78,11559
Chlamydia,Lassen,2018,Male,39,19004
Chlamydia,Lassen,2018,Total,117,30563
Chlamydia,Los Angeles,2015,Female,35020,5153697
Chlamydia,Los Angeles,2015,Male,21985,5027369
Chlamydia,Los Angeles,2015,Total,57129,10181066
Chlamydia,Los Angeles,2016,Female,35055,5169943
Chlamydia,Los Angeles,2016,Male,23772,5045264
Chlamydia,Los Angeles,2016,Total,59160,10215207
Chlamydia,Los Angeles,2017,Female,37723,5191338
Chlamydia,Los Angeles,2017,Male,26454,5070398
